day,server_name,key,total_count,number_of_player,proportion
2,3,Death,396,783,0.5057471264367817
2,3,Kicks,49,783,0.06257982120051085
2,3,KilledBy,194,783,0.24776500638569604
2,3,Logins,2588,783,3.3052362707535123
2,4,BlockBreak,22340,392,56.98979591836735
2,4,BlockPlace,22701,392,57.910714285714285
2,4,Chat,22,392,0.05612244897959184
2,4,Death,76,392,0.19387755102040816
2,4,Kicks,14,392,0.03571428571428571
2,4,KilledBy,31,392,0.07908163265306123
2,4,Logins,674,392,1.719387755102041
2,5,BlockBreak,12037,224,53.736607142857146
2,5,BlockPlace,6867,224,30.65625
2,5,Chat,63,224,0.28125
2,5,Death,460,224,2.0535714285714284
2,5,Kicks,24,224,0.10714285714285714
2,5,KilledBy,171,224,0.7633928571428571
2,5,Logins,404,224,1.8035714285714286
2,6,BlockBreak,50580,175,289.0285714285714
2,6,BlockPlace,56138,175,320.7885714285714
2,6,Chat,331,175,1.8914285714285715
2,6,CraftedItems,1601,175,9.148571428571428
2,6,Death,196,175,1.12
2,6,Kicks,15,175,0.08571428571428572
2,6,KilledBy,97,175,0.5542857142857143
2,6,Logins,536,175,3.0628571428571427
2,7,BlockBreak,10998,97,113.38144329896907
2,7,BlockPlace,5770,97,59.48453608247423
2,7,Chat,76,97,0.7835051546391752
2,7,CraftedItems,881,97,9.082474226804123
2,7,Death,49,97,0.5051546391752577
2,7,Kicks,15,97,0.15463917525773196
2,7,KilledBy,19,97,0.1958762886597938
2,7,Logins,209,97,2.154639175257732
2,8,BlockBreak,75493,1261,59.86756542426645
2,8,BlockPlace,31127,1261,24.684377478191912
2,8,Chat,1453,1261,1.1522601110229975
2,8,CraftedItems,3069,1261,2.4337827121332274
2,8,Death,859,1261,0.6812053925455988
2,8,Kicks,535,1261,0.42426645519429024
2,8,KilledBy,627,1261,0.4972244250594766
2,8,Logins,2428,1261,1.9254559873116575
2,9,BlockBreak,18311,213,85.96713615023474
2,9,BlockPlace,21155,213,99.31924882629107
2,9,Chat,197,213,0.9248826291079812
2,9,CraftedItems,977,213,4.586854460093897
2,9,Death,125,213,0.5868544600938967
2,9,Kicks,16,213,0.07511737089201878
2,9,KilledBy,54,213,0.2535211267605634
2,9,Logins,340,213,1.596244131455399
2,10,BlockBreak,35407,169,209.50887573964496
2,10,BlockPlace,21299,169,126.02958579881657
2,10,Chat,142,169,0.8402366863905325
2,10,CraftedItems,1100,169,6.508875739644971
2,10,Death,153,169,0.9053254437869822
2,10,Kicks,35,169,0.20710059171597633
2,10,KilledBy,59,169,0.34911242603550297
2,10,Logins,347,169,2.0532544378698225
2,11,BlockBreak,14502,364,39.84065934065934
2,11,BlockPlace,8860,364,24.34065934065934
2,11,Chat,10,364,0.027472527472527472
2,11,CraftedItems,706,364,1.9395604395604396
2,11,Death,332,364,0.9120879120879121
2,11,Kicks,17,364,0.046703296703296704
2,11,KilledBy,179,364,0.49175824175824173
2,11,Logins,660,364,1.8131868131868132
2,12,BlockBreak,118371,697,169.82926829268294
2,12,BlockPlace,40194,697,57.66714490674318
2,12,Chat,1380,697,1.9799139167862267
2,12,CraftedItems,3211,697,4.606886657101865
2,12,Death,3217,697,4.615494978479196
2,12,Kicks,79,697,0.1133428981348637
2,12,KilledBy,2329,697,3.341463414634146
2,12,Logins,1701,697,2.4404591104734576
2,13,BlockBreak,304883,1469,207.54458815520763
2,13,BlockPlace,196526,1469,133.78216473791696
2,13,Chat,1958,1469,1.3328795098706603
2,13,CraftedItems,11268,1469,7.670524166099387
2,13,Death,696,1469,0.47379169503063306
2,13,Kicks,80,1469,0.05445881552076242
2,13,KilledBy,151,1469,0.10279101429543908
2,13,Logins,3743,1469,2.5479918311776717
2,14,BlockBreak,33757,207,163.07729468599032
2,14,BlockPlace,17439,207,84.2463768115942
2,14,Chat,164,207,0.7922705314009661
2,14,CraftedItems,1333,207,6.4396135265700485
2,14,Death,279,207,1.3478260869565217
2,14,Kicks,16,207,0.07729468599033816
2,14,KilledBy,166,207,0.8019323671497585
2,14,Logins,418,207,2.0193236714975846
3,1,BlockBreak,124952,942,132.64543524416135
3,1,BlockPlace,58504,942,62.10615711252654
3,1,Chat,4024,942,4.2717622080679405
3,1,Death,7405,942,7.860934182590234
3,1,Kicks,50,942,0.05307855626326964
3,1,KilledBy,5623,942,5.969214437367303
3,1,Logins,3311,942,3.5148619957537157
3,2,BlockBreak,351167,879,399.5073947667804
3,2,BlockPlace,391803,879,445.73720136518773
3,2,Chat,623,879,0.7087599544937428
3,2,CraftedItems,274,879,0.3117178612059158
3,2,Kicks,92,879,0.10466439135381114
3,2,Logins,1954,879,2.222980659840728
3,3,BlockBreak,235823,873,270.12943871706756
3,3,BlockPlace,383771,873,439.60022909507444
3,3,Chat,697,873,0.7983963344788088
3,3,Death,776,873,0.8888888888888888
3,3,Kicks,79,873,0.09049255441008018
3,3,KilledBy,470,873,0.5383734249713631
3,3,Logins,3789,873,4.34020618556701
3,4,BlockBreak,11669,166,70.29518072289157
3,4,BlockPlace,5594,166,33.69879518072289
3,4,Chat,32,166,0.1927710843373494
3,4,Death,70,166,0.42168674698795183
3,4,Kicks,11,166,0.06626506024096386
3,4,KilledBy,26,166,0.1566265060240964
3,4,Logins,294,166,1.7710843373493976
3,5,BlockBreak,36492,343,106.39067055393586
3,5,BlockPlace,28224,343,82.28571428571429
3,5,Chat,170,343,0.4956268221574344
3,5,Death,849,343,2.4752186588921283
3,5,Kicks,81,343,0.23615160349854228
3,5,KilledBy,351,343,1.0233236151603498
3,5,Logins,1004,343,2.927113702623907
3,6,BlockBreak,95413,251,380.1314741035857
3,6,BlockPlace,68980,251,274.8207171314741
3,6,Chat,648,251,2.5816733067729083
3,6,CraftedItems,3768,251,15.01195219123506
3,6,Death,342,251,1.3625498007968126
3,6,Kicks,53,251,0.21115537848605578
3,6,KilledBy,172,251,0.6852589641434262
3,6,Logins,1016,251,4.047808764940239
3,7,BlockBreak,13871,141,98.37588652482269
3,7,BlockPlace,7118,141,50.4822695035461
3,7,Chat,40,141,0.28368794326241137
3,7,CraftedItems,938,141,6.652482269503546
3,7,Death,120,141,0.851063829787234
3,7,Kicks,17,141,0.12056737588652482
3,7,KilledBy,56,141,0.3971631205673759
3,7,Logins,351,141,2.4893617021276597
3,8,BlockBreak,103802,1709,60.73844353423054
3,8,BlockPlace,39827,1709,23.304271503803395
3,8,Chat,1943,1709,1.1369221767115272
3,8,CraftedItems,3757,1709,2.19836161497952
3,8,Death,1221,1709,0.7144528964306612
3,8,Kicks,654,1709,0.38267992978349913
3,8,KilledBy,913,1709,0.5342305441778818
3,8,Logins,3335,1709,1.9514335868929198
